trial,category,coverage,count,knn,ft,pre,fc,pc,own
shapenet1304,car,0.0,0.0,0.3871871769356381,0.1471404731273651,0.1141688823699951,1,1,airplane
shapenet1306,car,0.0,0.0,0.9175891399329065,-0.0682579278945922,-0.0301522016525268,0,0,sofa
shapenet1308,car,0.0,0.0,0.4660209925594079,-0.0145272016525268,-0.0412774085998535,0,0,display
shapenet1310,car,0.0,0.0,1.0402553397421437,0.0464255213737487,0.0020322203636169,1,0,loudspeaker
shapenet1312,car,0.0,0.0,0.8618077980054282,0.3272350430488586,0.2861450910568237,1,1,chair
shapenet1314,car,0.0,0.0,1.074445205655208,0.049916386604309,-0.0241385698318481,1,0,cabinet
shapenet1315,car,-1.4648163848908131,5.333333333333333,0.3436804205721589,-0.0631806850433349,-0.0929202437400817,0,0,bench
shapenet1316,car,0.0,0.0,0.4669773100977233,0.1836510300636291,0.0384072959423065,1,0,watercraft
shapenet1317,car,0.0,0.0,0.7475644141331808,0.0128729939460754,0.0221961736679077,0,1,telephone
shapenet1318,car,0.0,0.0,0.937721928063968,0.0970189571380615,0.0416124463081359,1,1,sofa
shapenet1320,car,-4.111677660592227,317.3333333333333,0.11596486918365286,0.219941109418869,-0.0521267652511596,1,0,car
shapenet1321,car,0.0,0.0,0.6243632749476822,0.2287533283233642,0.1811056733131408,1,1,chair
shapenet1322,car,0.0,0.0,0.9481251071130875,-0.1271713972091674,0.0022336840629577,0,0,display
shapenet1324,car,0.0,0.0,0.9079489084041517,-0.0038592219352722,-0.0625313520431518,0,0,cabinet
shapenet1325,car,0.0,0.0,0.4365360741865707,0.3130705952644348,0.2240466475486755,1,1,airplane
shapenet1328,car,0.0,0.0,0.987298462576481,-0.0507388710975647,-0.0170623064041137,0,0,cabinet
shapenet1330,car,-6.336369934158505,572.6666666666666,0.03821417348310471,0.0849646925926208,0.0023592710494995,1,0,car
shapenet1333,car,0.0,0.0,0.9293663977148133,0.1765755414962768,0.1400061249732971,1,1,sofa
shapenet1337,car,-0.6931471805599453,1.0,0.32506156259770025,0.0483909249305725,-0.0612450242042541,1,0,watercraft
shapenet1339,car,-0.46209812037329684,0.6666666666666666,0.3232107268823656,-0.0204030871391296,0.0218293070793151,0,0,watercraft
shapenet1341,car,-6.0030341293211436,414.3333333333333,0.041961577657726644,0.0632029771804809,-0.0259963870048522,0,0,car
shapenet1347,car,-1.9410152984943396,8.333333333333334,0.27989943585889954,0.13637375831604,0.0497165322303772,1,1,watercraft
shapenet1349,car,0.0,0.0,0.9434299259061923,0.0476195812225341,0.0098820328712463,1,1,sofa
shapenet1351,car,0.0,0.0,0.36612751729161835,-0.1335513591766357,-0.1281042695045471,0,0,airplane
shapenet1353,car,0.0,0.0,0.3689982020902507,0.1115257740020752,0.011461853981018,1,0,airplane
shapenet1354,car,0.0,0.0,0.904582712404648,0.1255723536014557,0.13924640417099,1,1,sofa
shapenet1357,car,0.0,0.0,0.7709333279606873,0.0549563914537429,0.1531468033790588,1,1,chair
shapenet1358,car,0.0,0.0,0.9901545730691238,0.1017535328865051,0.0548915863037109,1,1,telephone
shapenet1359,car,-2.063438468617716,41.0,0.14059122888113915,0.1192533373832702,-0.0677734315395355,1,0,car
shapenet1360,car,0.0,0.0,0.8620172492956257,0.0512908101081848,0.0815763473510742,1,1,display
shapenet1361,car,0.0,0.0,0.9289044113959717,0.1537888050079345,0.1332599520683288,1,1,chair
shapenet1362,car,0.0,0.0,0.3284862601988331,0.2305210530757904,0.2001701593399047,1,1,airplane
shapenet1364,car,0.0,0.0,0.924676099843352,0.1281466484069824,-0.0023027658462524,1,0,sofa
shapenet1369,car,-5.76100662910438,326.3333333333333,0.056657269966592566,0.3706360757350921,0.0285881161689758,1,0,car
shapenet1372,car,0.0,0.0,1.0159512007462264,-0.0987828373908996,-0.0846184492111206,0,0,cabinet
shapenet1375,car,0.0,0.0,0.40822092507799174,0.3381301760673523,0.2516615986824035,1,1,airplane
shapenet1377,car,0.0,0.0,0.31215661641049713,0.0437126457691192,-0.019837737083435,1,0,watercraft
shapenet1378,car,-0.9241962407465937,5.0,0.2823981267444284,0.220973253250122,0.123207002878189,1,1,watercraft
shapenet1380,car,0.0,0.0,0.7599815973389853,-0.0255268216133117,-0.034300684928894,0,0,loudspeaker
shapenet1381,car,-5.985980679045145,403.3333333333333,0.03213785545492004,0.3214316964149475,0.0163037180900573,1,0,car
shapenet1383,car,0.0,0.0,0.9994251397301467,-0.0848112404346466,-0.0893880128860473,0,0,loudspeaker
shapenet1386,car,0.0,0.0,0.8523221885686584,0.0351219177246093,-0.0486639142036438,1,0,display
shapenet1390,car,0.0,0.0,0.6633562305248796,-0.0129727721214294,-0.0018378496170043,0,0,telephone
shapenet1391,car,0.0,0.0,0.9884690012971052,0.0383163690567016,0.0870592892169952,1,1,loudspeaker
shapenet1392,car,0.0,0.0,0.5587230977913987,0.1406827569007873,0.0623784959316253,1,1,telephone
shapenet1393,car,-1.1552453009332422,3.0,0.35145032498887013,0.0396103858947753,0.0460767447948455,0,1,watercraft
shapenet1394,car,0.0,0.0,0.7556565623834199,-0.043592631816864,-0.0540354251861572,0,0,cabinet
shapenet1396,car,0.0,0.0,0.41303571641413067,-0.0320149660110473,0.0044541358947753,0,0,airplane
shapenet1397,car,0.0,0.0,0.5681849982179911,0.0288016200065612,0.0369684100151062,0,0,chair
shapenet1401,car,0.0,0.0,0.3906797257635908,0.0142765045166015,0.0131690502166748,0,1,airplane
shapenet1402,car,0.0,0.0,0.8009166424240687,0.2050150036811828,0.1425019204616546,1,1,chair
shapenet1404,car,-4.009917680310618,93.66666666666667,0.09130050820112719,0.1827250123023986,0.0062756240367889,1,0,car
shapenet1406,car,0.0,0.0,0.39651935579178493,0.3231463134288788,0.3007927983999252,1,1,airplane
shapenet1411,car,0.0,0.0,0.8218720225557146,-0.0541087090969085,-0.0718332529067993,0,0,sofa
shapenet1413,car,-2.118702553565297,7.333333333333333,0.29399347318289354,0.09473717212677,0.1350704431533813,1,1,bench
shapenet1418,car,-3.7683261201791005,189.33333333333334,0.11173339137153131,-0.0108048915863037,-0.0357309579849243,0,0,car
shapenet1419,car,0.0,0.0,0.9641882265690906,-0.1109024882316589,-0.0601184368133544,0,0,table
shapenet1421,car,0.0,0.0,0.2362955121256748,-0.0539917647838592,-0.0841362178325653,0,0,watercraft
shapenet1422,car,0.0,0.0,0.3946177198391912,0.05305016040802,0.0270657539367675,1,0,airplane
shapenet1423,car,0.0,0.0,0.967575108805399,0.0864873528480529,0.011841595172882,1,0,telephone
shapenet1427,car,0.0,0.0,0.9956416401031921,0.0468633472919464,0.0036223232746124,1,0,display
shapenet1428,car,-5.89163273698432,364.6666666666667,0.03856795314606723,0.2644934058189392,0.0156983733177185,1,1,car
shapenet1429,car,0.0,0.0,0.7762289742114933,0.0014359354972839,0.0356457233428955,0,1,sofa
shapenet1433,car,-4.248879859718008,390.0,0.20244757579918002,0.0329391360282897,0.0484888553619384,1,1,car
shapenet1435,car,0.0,0.0,0.8113174979901195,0.3275229036808014,0.2590386867523193,1,1,bench
shapenet1436,car,0.0,0.0,0.43503089076815504,-0.0113661289215087,-0.0135230422019958,0,0,airplane
shapenet1439,car,0.0,0.0,0.8593450728367436,-0.0381833612918853,-0.0303328335285186,0,0,lamp
shapenet1441,car,-0.23104906018664842,0.3333333333333333,0.40642118833392754,0.3397029936313629,0.2989781647920608,1,1,airplane
shapenet1445,car,0.0,0.0,0.4053783502004172,0.1663734018802642,0.1273740828037262,1,1,airplane
shapenet1448,car,0.0,0.0,0.9642948155442311,0.043781042098999,0.0211828351020813,1,0,cabinet
shapenet1449,car,0.0,0.0,0.9251262199223172,0.0049866735935211,-0.092201292514801,1,0,cabinet
shapenet1451,car,0.0,0.0,0.8393473124147682,0.0651437044143676,0.0839506983757019,1,1,display
shapenet1455,car,0.0,0.0,0.4505717259852593,0.2902781367301941,0.2689354419708252,1,1,airplane
shapenet1460,car,0.0,0.0,0.9090169940839209,0.3336470425128937,0.1210862696170806,1,1,telephone
shapenet1466,car,0.0,0.0,0.40891948359012337,0.1371223330497741,0.0665410161018371,1,1,airplane
shapenet1468,car,-5.9875152015719015,418.3333333333333,0.05188771030267006,-0.0435844659805297,-0.0724620223045349,0,0,car
shapenet1470,car,0.0,0.0,0.5590031168781978,0.0445805788040161,0.066514253616333,1,1,chair
shapenet1472,car,0.0,0.0,0.40056096182522216,0.3253343999385834,0.1541776061058044,1,1,airplane
