trial,dAB,dist2000,pre,ft2000
chair_c0_447a5eee395026fa8d09bc92d0fc6d3a_0,0.2632109526867463,0.1657373704721082,-0.1337974071502685,-0.0052408277988433
chair_c0_447a5eee395026fa8d09bc92d0fc6d3a_1,0.18026098081967679,0.1635929855475242,0.0357685685157775,0.1448915600776672
chair_c0_447a5eee395026fa8d09bc92d0fc6d3a_2,0.3083888241221213,0.1374219371091831,0.0893009901046752,0.1676843166351318
chair_c0_47dcabdd8618e5c4b3c9a4ebefe3bae0_0,0.3442274464313396,0.1664478296761221,0.1832132935523986,0.2200349569320678
chair_c0_47dcabdd8618e5c4b3c9a4ebefe3bae0_1,0.3490161763302049,0.2410002076975756,0.181084007024765,0.2359631657600402
chair_c0_47dcabdd8618e5c4b3c9a4ebefe3bae0_2,0.33794771170669713,0.1642643207333352,0.0284993052482604,0.1101459264755249
chair_c0_4e438ade91769be8c8687ff9b0b4e4ac_0,0.18307012739125084,0.1125202717013293,-0.0089417695999145,0.134255051612854
chair_c0_4e438ade91769be8c8687ff9b0b4e4ac_1,0.24313091901637174,0.1227866550740217,0.0469532012939453,0.1228560209274292
chair_c0_4e438ade91769be8c8687ff9b0b4e4ac_2,0.2338770570242119,0.1242159853982948,0.0213528275489807,0.1030521690845489
chair_c0_cb78334a5ad9517d7a31dd5af93fdb5c_0,0.3120303582563446,0.1589125969255103,0.2166720032691955,0.3526302129030227
chair_c0_cb78334a5ad9517d7a31dd5af93fdb5c_1,0.2597892063252175,0.171368916499848,0.1793325245380401,0.2294617742300033
chair_c0_cb78334a5ad9517d7a31dd5af93fdb5c_2,0.17179373445750024,0.1999373198804703,0.1180670857429504,0.1659705638885498
chair_c0_30d2d3c887f9592551ae1a6e89264401_0,0.3577248248439042,0.1761931201440243,0.0457529425621032,0.1421741843223571
chair_c0_30d2d3c887f9592551ae1a6e89264401_1,0.3461117881442859,0.164306806600696,0.0647159218788147,0.0394052863121032
chair_c0_30d2d3c887f9592551ae1a6e89264401_2,0.36261958355368873,0.1520410868727212,-0.0532894730567932,0.0408973693847656
chair_c0_6549c13a4c96b926f51fa0238791f5dc_0,0.3659439698244418,0.3306028371185472,0.2432047426700592,0.230561226606369
chair_c0_6549c13a4c96b926f51fa0238791f5dc_1,0.3386259916329597,0.3033256750365008,-0.0129452049732208,0.0576784610748291
chair_c0_6549c13a4c96b926f51fa0238791f5dc_2,0.47107374281564807,0.2964344566618581,0.039910078048706,0.0928854644298553
chair_c0_fe31beab802cfc56c2bcda262700befe_0,0.21021123975768263,0.1426510734571165,-0.0113915205001831,0.0509803593158721
chair_c0_fe31beab802cfc56c2bcda262700befe_1,0.2922296169280021,0.1553505196214336,0.2431484758853912,0.3615845143795013
chair_c0_fe31beab802cfc56c2bcda262700befe_2,0.32646667489732817,0.17799997446638,-0.0133426189422607,0.0719165205955505
chair_c0_2a8b0d30928d3161f7b783634bf3f92f_0,0.1922605653640469,0.1281128062041455,0.0005043745040893,0.0091012716293334
chair_c0_2a8b0d30928d3161f7b783634bf3f92f_1,0.17845443681878226,0.0919522985896959,0.0466598868370056,0.035943865776062
chair_c0_2a8b0d30928d3161f7b783634bf3f92f_2,0.1922605653640469,0.1281128062041455,-0.0250177383422851,-0.0019857883453369
chair_c0_a1adf14b24469f8835acfdef2ece21c0_0,0.37741354457906817,0.2369469926675199,0.0038134455680847,0.0961186289787292
chair_c0_a1adf14b24469f8835acfdef2ece21c0_1,0.2761516897920788,0.1673518127508928,0.2705458998680115,0.3663140833377838
chair_c0_a1adf14b24469f8835acfdef2ece21c0_2,0.3722747333733245,0.18661348623008,0.1216497421264648,0.208381175994873
chair_c0_969730a19872b564fdb60f509d2616e0_0,0.4433576745496217,0.3159123193302992,0.2015583217144012,0.2819317281246185
chair_c0_969730a19872b564fdb60f509d2616e0_1,0.5069627436043433,0.2654502955829377,-0.102408617734909,-0.0790396928787231
chair_c0_969730a19872b564fdb60f509d2616e0_2,0.3984362639288703,0.2807170343512291,0.0687099695205688,0.1289600729942321
chair_c0_8b39b501c9fa4d349b9f2eb77f5e247e_0,0.08508179217209155,0.0767167407124616,0.0297760367393493,-0.0022048950195312
chair_c0_8b39b501c9fa4d349b9f2eb77f5e247e_1,0.1520625239931609,0.0910441193432035,-0.0559892058372497,0.0481877326965332
chair_c0_8b39b501c9fa4d349b9f2eb77f5e247e_2,0.17329003450567115,0.094165263828027,-0.044284164905548,0.0841723084449768
chair_c0_4428b7dc4b6696812905b6e26038a78_0,0.09950904009826589,0.2294325905432543,-0.0315398573875427,-0.0241994857788085
chair_c0_4428b7dc4b6696812905b6e26038a78_1,0.45778024132713446,0.1942373055641842,0.1731653809547424,0.3432759195566177
chair_c0_4428b7dc4b6696812905b6e26038a78_2,0.4244768565242524,0.1702395155132243,0.0368722081184387,0.0656086206436157
chair_c0_6e98c5d61e008b4c2871cc0b3cc1a485_0,0.27831335244005784,0.1842989605607433,0.0325164794921875,0.0962341427803039
